breed,count
Retriever (Labrador),"45,700"
Spaniel (Cocker),"20,459"
Spaniel (English Springer),"15,133"
German Shepherd Dog (Alsatian),"12,857"
Staffordshire Bull Terrier,"12,729"
Cavalier King Charles Spaniel,"11,411"
Retriever (Golden),"9,373"
West Highland White Terrier,"9,300"
Boxer,"9,066"
Border Terrier,"8,916"
Rottweiler,"6,575"
Shih Tzu,"4,436"
Miniature Schnauzer,"4,396"
Lhasa Apso,"4,154"
Yorkshire Terrier,"4,042"
Bulldog,"3,522"
Dobermann,"3,388"
Bull Terrier,"3,361"
Weimaraner,"2,744"
Pug,"2,681"
Whippet,"2,672"
Dogue de Bordeaux (Imp),"2,361"
Bichon Frise,"2,329"
Border Collie,"2,219"
Siberian Husky,"1,993"
Shar-Pei,"1,987"
Dalmatian,"1,984"
Great Dane,"1,839"
Cairn Terrier,"1,834"
Beagle,"1,817"
Dachshund (Miniature Smooth Haired),"1,789"
Bullmastiff,"1,600"
Shetland Sheepdog,"1,577"
Rhodesian Ridgeback,"1,548"
German Shorthaired Pointer,"1,530"
Retriever (Flat Coated),"1,527"
Poodle (Toy),"1,513"
Basset Hound,"1,495"
Chihuahua (Long Coat),"1,446"
Tibetan Terrier,"1,387"
Dachshund (Miniature Long Haired),"1,379"
Akita,"1,275"
Irish Setter,"1,229"
Newfoundland,"1,145"
Scottish Terrier,"1,137"
Hungarian Vizsla,"1,030"
Collie (Rough),"1,023"
Poodle (Miniature),978
Alaskan Malamute,889
Poodle (Standard),879
Chihuahua (Smooth Coat),876
Airedale Terrier,861
Papillon,850
Pomeranian,830
Pointer,829
Dachshund (Miniature Wire Haired),803
Bernese Mountain Dog,792
Parson Russell Terrier,764
Bearded Collie,720
Fox Terrier (Wire),688
St Bernard,674
Norfolk Terrier,631
Old English Sheepdog,536
Welsh Corgi (Pembroke),533
Pekingese,530
French Bulldog,526
Spaniel (American Cocker),501
Chinese Crested,493
Mastiff,483
Bedlington Terrier,471
English Setter,450
Maltese,441
Chow Chow,438
Leonberger,438
Irish Wolfhound,418
Soft-Coated Wheaten Terrier,403
Welsh Terrier,386
Schnauzer,367
Italian Spinone,353
Spaniel (Welsh Springer),352
Gordon Setter,345
Dachshund (Wire Haired),344
Samoyed,338
Irish Terrier,324
Giant Schnauzer,313
Miniature Pinscher,312
Boston Terrier,298
German Wirehaired Pointer,287
Lakeland Terrier,277
Tibetan Spaniel,264
Kerry Blue Terrier,263
Neapolitan Mastiff,263
Hungarian Wirehaired Vizsla,253
Deerhound,252
King Charles Spaniel,251
Spaniel (Clumber),247
Japanese Chin,233
Dachshund (Long Haired),229
Dachshund (Smooth Haired),229
Bull Terrier (Miniature),212
Afghan Hound,194
Retriever (Curly Coated),187
Pyrenean Mountain Dog,178
Australian Shepherd,176
Griffon Bruxellois,174
Lancashire Heeler,173
Fox Terrier (Smooth),173
Japanese Shiba Inu,170
Belgian Shepherd Dog (Tervueren),169
Retriever (Chesapeake Bay),168
Brittany,167
German Spitz (Klein),163
Briard,161
Retriever (Nova Scotia Duck Tolling),157
Basset Griffon Vendeen (Petit),154
Borzoi,154
Japanese Spitz,154
Norwich Terrier,147
Manchester Terrier,133
Russian Black Terrier,129
Affenpinscher,128
Large Munsterlander,122
Irish Red & White Setter,115
English Toy Terrier (Black & Tan),114
Portuguese Podengo (Imp),108
Lowchen (Little Lion Dog),106
Spaniel (Irish Water),105
Saluki,104
Basset Fauve de Bretagne,103
Bouvier des Flandres,103
Keeshond,99
Italian Greyhound,97
Havanese,89
Schipperke,88
Spanish Water Dog (Imp),86
Belgian Shepherd Dog (Malinois),86
Basset Griffon Vendeen (Grand),84
Norwegian Elkhound,84
Welsh Corgi (Cardigan),84
Skye Terrier,84
Portuguese Water Dog,83
German Spitz (Mittel),80
Dandie Dinmont Terrier,78
Coton de Tulear,75
Spaniel (Sussex),74
Bolognese,72
Bloodhound,70
Australian Cattle Dog,69
Polish Lowland Sheepdog,68
Spaniel (Field),64
Australian Terrier,62
Tibetan Mastiff,60
Sealyham Terrier,57
Hungarian Puli,55
Slovakian Rough Haired Pointer (Imp),54
Anatolian Shepherd Dog,54
Collie (Smooth),53
Bracco Italiano (Imp),51
Otterhound,51
Swedish Vallhund,46
Greyhound,44
Cesky Terrier,44
Glen of Imaal Terrier,41
Belgian Shepherd Dog (Groenendael),40
Eurasier (Imp),39
Japanese Akita Inu,38
Basenji,37
German Longhaired Pointer,36
Finnish Lapphund,32
Hovawart,27
Lagotto Romagnola (Imp),25
Estrela Mountain Dog,25
Pyrenean Sheepdog,25
Finnish Spitz,23
Canaan Dog,22
Pharaoh Hound,21
Hamiltonstovare,20
Norwegian Buhund,20
Greenland Dog,20
Korean Jindo (Imp),19
Maremma Sheepdog,18
Australian Silky Terrier,18
Korthals Griffon (Imp),16
Beauceron (Imp),16
German Pinscher,14
Komondor,13
Kooikerhondje (Imp),11
Bavarian Mountain Hound (Imp),10
Basset Bleu de Gascogne (Imp),7
Ibizan Hound,7
Catalan Sheepdog (Imp),7
Mexican Hairless (Imp),4
Canadian Eskimo Dog,4
Small Munsterlander (Imp),3
Grand Bleu de Gacogne (Imp),3
Spaniel (American Water) (Imp),1
Azawakh (Imp),1
Cirneco Dell'Etna (Imp),1
Hungarian Kuvasz,1
Swedish Lapphund (Imp),1
Entelbucher Mountain Dog (Imp),1
Foxhound,0
Segugio Italiano (Imp),0
Sloughi,0
Belgian Shepherd Dog (Laekenois),0
Bergamasco (Imp),0
Pyrenean Mastiff (Imp),0
