,Breed,Freq,Group
1,Abyssinian,4,Others
2,Affenpinscher,16,Toy
3,Afghan Hound,2,Hound
4,Airedale Terrier,16,Terrier
5,Akita,59,Working
6,Alaskan Husky,53,Working
7,Alaskan Malamute,40,Working
8,American,26,Others
9,American Bulldog,357,Non-sporting
10,American Eskimo,33,Non-sporting
11,American Foxhound,16,Hound
12,American Pit Bull Terrier,200,Terrier
13,American Sable,4,Others
14,American Staffordshire Terrier,313,Terrier
15,Anatol Shepherd,302,Working
16,Angora,24,Other-animal
17,Angora-French,2,Other-animal
18,Armadillo,8,Others
19,Australian Cattle Dog,1342,Herding
20,Australian Kelpie,343,Herding
21,Australian Shepherd,664,Herding
22,Australian Terrier,10,Terrier
23,Balinese,16,Others
24,Bantam,12,Others
25,Basenji,43,Hound
26,Basset Hound,206,Hound
27,Bat,2008,Other-animal
28,Beagle,594,Hound
29,Bearded Collie,10,Herding
30,Beauceron,29,Herding
31,Bedlington Terr,6,Terrier
32,Belgian Malinois,69,Herding
33,Belgian Sheepdog,6,Herding
34,Belgian Tervuren,5,Herding
35,Bengal,14,Others
36,Bernese Mountain Dog,19,Working
37,Bichon Frise,46,Non-sporting
38,Black,45,Others
39,Black Mouth Cur,235,Herding
40,Bloodhound,29,Hound
41,Blue Lacy,160,Herding
42,Bluebird,2,Others
43,Bluetick Hound,23,Hound
44,Boerboel,15,Working
45,Bombay,10,Others
46,Border Collie,916,Herding
47,Border Terrier,159,Terrier
48,Borzoi,1,Hound
49,Boston Terrier,185,Non-sporting
50,Boxer,884,Working
51,Boykin Span,7,Others
52,British,11,Others
53,Brittany,40,Sporting
54,Bruss Griffon,70,Toy
55,Bull Terrier,103,Terrier
56,Bull Terrier Miniature,12,Terrier
57,Bulldog,32,Non-sporting
58,Bullmastiff,25,Working
59,Bunting,2,Others
60,Burmese,2,Others
61,Cairn Terrier,376,Terrier
62,Californian,36,Others
63,Canaan Dog,11,Herding
64,Cane Corso,24,Working
65,Cardigan Welsh Corgi,250,Herding
66,Carolina Dog,99,Others
67,Catahoula,577,Herding
68,Catbird,2,Others
69,Cavalier Span,34,Toy
70,Chartreux,2,Others
71,Chesa Bay Retr,33,Sporting
72,Chicken,46,Other-animal
73,Chihuahua,5778,Toy
74,Chinese Crested,10,Toy
75,Chinese Sharpei,177,Non-sporting
76,Chow Chow,263,Non-sporting
77,Cinnamon,2,Other-animal
78,Cirneco,1,Others
79,Cockatiel,6,Other-animal
80,Cocker Spaniel,207,Sporting
81,Cold Water,10,Others
82,Collie Rough,44,Herding
83,Collie Smooth,111,Herding
84,Conure,6,Others
85,Cornish Rex,2,Others
86,Coton De Tulear,2,Non-sporting
87,Cottontail,4,Others
88,Coyote,6,Others
89,Cymric,8,Others
90,Dachshund,1538,Hound
91,Dachshund Stan,2,Hound
92,Dalmatian,49,Non-sporting
93,Dandie Dinmont,2,Others
94,Devon Rex,8,Others
95,Doberman Pinsch,188,Working
96,Dogo Argentino,49,Others
97,Dogue De Bordeaux,22,Working
98,Domestic,23036,Domestic
99,Domestic Medium,2171,Domestic
