"AnimalID","Name","DateTime","OutcomeType","OutcomeSubtype","AnimalType","SexuponOutcome","AgeuponOutcome","Breed","Color"
"A671945","Hambone","2/12/2014 18:22","Return_to_owner","","Dog","Neutered Male","1 year","Shetland Sheepdog Mix","Brown/White"
"A686464","Pearce","1/31/2015 12:28","Adoption","Foster","Dog","Neutered Male","2 years","Pit Bull Mix","Blue/White"
"A667013","","11/15/2013 12:52","Transfer","Partner","Dog","Neutered Male","2 years","Lhasa Apso Mix","Tan"
"A677334","Elsa","4/25/2014 13:04","Transfer","Partner","Dog","Intact Female","1 month","Cairn Terrier Mix","Black/Tan"
"A671784","Lucy","2/4/2014 17:17","Adoption","","Dog","Spayed Female","5 months","American Pit Bull Terrier Mix","Red/White"
"A677747","","5/3/2014 7:48","Adoption","Offsite","Dog","Spayed Female","1 year","Cairn Terrier","White"
"A666320","","11/4/2013 14:48","Adoption","","Dog","Spayed Female","2 years","Miniature Schnauzer Mix","Silver"
"A684601","Rocket","2/3/2016 11:27","Adoption","Foster","Dog","Neutered Male","4 years","Pit Bull Mix","Brown"
"A704702","Scooter","6/8/2015 16:30","Return_to_owner","","Dog","Neutered Male","2 years","Yorkshire Terrier Mix","Black/Red"
"A688584","Preston","11/25/2015 15:00","Return_to_owner","","Dog","Neutered Male","1 year","Great Pyrenees Mix","White/Cream"
"A680028","","6/7/2014 12:54","Transfer","Partner","Dog","Intact Female","2 weeks","Pit Bull Mix","Brown/White"
"A684787","Kuma","7/30/2014 17:34","Return_to_owner","","Dog","Neutered Male","1 year","Flat Coat Retriever Mix","Black"
"A670658","Anders","1/19/2014 15:03","Transfer","Partner","Dog","Intact Male","2 months","Queensland Heeler Mix","Black/White"
"A705262","Jamaica","8/15/2015 14:22","Adoption","","Dog","Spayed Female","2 years","Plott Hound Mix","Brown Brindle/White"
"A665781","Quattro","10/28/2013 16:32","Adoption","","Dog","Neutered Male","10 months","German Shepherd Mix","Brown/White"
"A676333","Trigger","4/9/2014 17:44","Return_to_owner","","Dog","Neutered Male","2 months","German Shepherd Mix","Black/Brown"
"A718832","Nia","1/15/2016 17:31","Adoption","","Dog","Spayed Female","6 months","American Staffordshire Terrier Mix","Chocolate/White"
"A698777","Chloe","3/25/2015 18:50","Adoption","","Dog","Spayed Female","5 years","Chihuahua Shorthair Mix","White/Tan"
"A707341","Murphy","7/15/2015 15:25","Transfer","Partner","Dog","Intact Male","4 months","Labrador Retriever Mix","Black/White"
"A666825","Jesse","11/8/2013 13:24","Return_to_owner","","Dog","Neutered Male","5 years","Collie Smooth Mix","Brown/Black"
"A699723","Delgado","4/11/2015 16:01","Transfer","Partner","Dog","Neutered Male","3 years","Chihuahua Shorthair Mix","Brown"
"A668626","","12/6/2013 14:55","Euthanasia","Suffering","Dog","Intact Male","3 years","Labrador Retriever Mix","Yellow"
"A657085","Pony Boy","10/24/2013 11:22","Return_to_owner","","Dog","Neutered Male","3 years","Pit Bull Mix","Brown/White"
"A686716","Chester","8/27/2014 7:50","Return_to_owner","","Dog","Neutered Male","12 years","Beagle","Tricolor"
"A697852","Edith","3/9/2015 17:57","Adoption","","Dog","Spayed Female","5 months","German Shepherd Mix","Black/Brown"
"A666092","","10/30/2013 15:37","Euthanasia","Aggressive","Dog","Intact Male","6 years","Pit Bull Mix","Chocolate/White"
"A701627","Gabe","5/14/2015 12:07","Adoption","","Dog","Neutered Male","2 years","Blue Lacy Mix","Gray/White"
"A683443","","7/18/2014 16:23","Transfer","Partner","Dog","Intact Male","1 year","Chihuahua Shorthair Mix","Tan"
"A597644","Lola","9/16/2014 14:05","Return_to_owner","","Dog","Spayed Female","4 years","Black Mouth Cur Mix","Tan/Black"
"A682784","Sugar","7/7/2014 12:38","Adoption","","Dog","Neutered Male","2 years","Dachshund Mix","Brown/White"
"A678506","Prec Punkin'","5/9/2014 18:07","Euthanasia","Suffering","Dog","Spayed Female","11 years","Yorkshire Terrier Mix","Brown/Black"
"A712236","Bella","9/23/2015 11:45","Adoption","","Dog","Spayed Female","2 years","Dachshund Mix","Tan/White"
"A714740","Chiquita","10/27/2015 18:32","Return_to_owner","","Dog","Spayed Female","6 years","Maltese Mix","White"
"A691847","Hero","12/8/2014 15:53","Transfer","Partner","Dog","Neutered Male","6 months","Pointer Mix","Black/White"
"A711392","Molly","9/8/2015 15:31","Transfer","Partner","Dog","Intact Female","2 months","English Foxhound","Buff"
"A678172","Bella","5/10/2014 18:18","Adoption","","Dog","Spayed Female","1 year","Chihuahua Shorthair Mix","Red"
"A676736","Chili","4/30/2014 17:55","Adoption","","Dog","Neutered Male","2 months","Vizsla Mix","Brown"
"A701575","Hastings","1/29/2016 14:53","Transfer","Partner","Dog","Neutered Male","2 years","Pit Bull Mix","Brown Brindle/White"
"A674913","","3/25/2014 18:15","Adoption","","Dog","Spayed Female","3 years","German Shepherd Mix","White"
"A669540","Snookie","12/28/2013 16:17","Return_to_owner","","Dog","Spayed Female","4 years","Yorkshire Terrier Mix","Blue/Tan"
"A709371","Abby","8/19/2015 14:28","Transfer","Partner","Dog","Spayed Female","2 years","Cardigan Welsh Corgi Mix","Tan"
"A704179","Zeus","6/7/2015 16:07","Adoption","","Dog","Neutered Male","2 months","Chow Chow Mix","Black"
"A700740","Charlie","12/17/2015 12:10","Adoption","Foster","Dog","Neutered Male","1 year","Chihuahua Shorthair","White"
"A691838","Avaddon","2/9/2015 17:17","Euthanasia","Suffering","Dog","Neutered Male","12 years","Pit Bull Mix","Brown Brindle"
"A687789","","9/14/2014 18:51","Adoption","","Dog","Neutered Male","1 year","Dachshund Mix","Brown/White"
"A677594","","4/26/2014 18:00","Transfer","Partner","Dog","Intact Female","3 months","Labrador Retriever Mix","Black/White"
"A717147","Freeway","12/15/2015 14:16","Adoption","","Dog","Neutered Male","5 months","Plott Hound Mix","Brown Brindle/White"
"A687012","Chloe","2/7/2016 14:54","Adoption","","Dog","Spayed Female","3 years","Boxer Mix","Black"
"A676200","Georgia","4/10/2014 11:49","Transfer","Partner","Dog","Spayed Female","7 years","Lhasa Apso","White/Black"
"A676680","Hero","2/6/2015 18:56","Euthanasia","Aggressive","Dog","Spayed Female","2 years","German Shepherd Mix","Black/Tan"
"A715261","Darcy","11/15/2015 14:06","Adoption","","Dog","Spayed Female","9 years","Beagle Mix","White/Brown"
"A717008","Taz","12/6/2015 15:12","Transfer","Partner","Dog","Neutered Male","7 months","Border Collie Mix","Black/White"
"A695155","","1/14/2015 16:18","Adoption","","Dog","Neutered Male","3 years","Border Terrier Mix","Gray"
"A679721","Poppy","5/29/2014 17:43","Adoption","","Dog","Neutered Male","5 years","Chihuahua Shorthair Mix","Tan/White"
